 5820. 5810. 5800. 5800. 5780. 5780. 5770. 5750. 5750. 5780. 5800. 5820. 5830. 5840. 5840. 5850. 5850. 5860. 5870. 5880.
 5780. 5948. 5806. 5957. 5870. 5942. 5914. 5869. 5834. 5811. 5850. 5813. 5904. 5893. 5919. 5948. 5922. 5883. 5909. 5860.
 5770. 5849. 5797. 5809. 5798. 5811. 5778. 5798. 5711. 5828. 5726. 5851. 5787. 5825. 5822. 5871. 5822. 5848. 5827. 5840.
 5730. 5881. 5712. 5895. 5774. 5897. 5853. 5813. 5846. 5816. 5820. 5817. 5805. 5812. 5844. 5877. 5820. 5820. 5830. 5800.
 5670. 5814. 5732. 5780. 5689. 5731. 5675. 5748. 5643. 5741. 5696. 5738. 5702. 5848. 5737. 5829. 5675. 5742. 5661. 5770.
 5590. 5750. 5602. 5724. 5642. 5689. 5682. 5749. 5642. 5702. 5722. 5724. 5752. 5753. 5816. 5778. 5686. 5688. 5698. 5740.
 5540. 5621. 5589. 5635. 5595. 5677. 5531. 5613. 5590. 5605. 5608. 5710. 5628. 5748. 5653. 5656. 5471. 5631. 5453. 5700.
 5540. 5672. 5531. 5619. 5566. 5589. 5564. 5561. 5531. 5604. 5590. 5633. 5643. 5658. 5699. 5576. 5491. 5605. 5482. 5660.
 5590. 5629. 5534. 5579. 5533. 5575. 5442. 5522. 5472. 5435. 5523. 5548. 5510. 5644. 5490. 5469. 5262. 5456. 5418. 5640.
 5590. 5653. 5533. 5557. 5492. 5481. 5396. 5482. 5383. 5515. 5515. 5498. 5623. 5521. 5470. 5266. 5214. 5292. 5293. 5600.
 5580. 5555. 5424. 5442. 5372. 5434. 5318. 5372. 5348. 5382. 5368. 5474. 5444. 5476. 5296. 5266. 5145. 5255. 5254. 5560.
 5530. 5501. 5437. 5405. 5332. 5290. 5200. 5266. 5204. 5323. 5388. 5447. 5536. 5504. 5407. 5307. 5238. 5340. 5358. 5510.
 5470. 5400. 5304. 5265. 5230. 5238. 5208. 5193. 5240. 5246. 5274. 5419. 5399. 5384. 5364. 5354. 5318. 5425. 5474. 5520.
 5380. 5278. 5270. 5184. 5208. 5211. 5171. 5222. 5208. 5408. 5475. 5488. 5582. 5515. 5446. 5399. 5367. 5431. 5520. 5520.
 5290. 5266. 5183. 5203. 5184. 5221. 5186. 5183. 5235. 5226. 5296. 5439. 5398. 5437. 5329. 5394. 5390. 5469. 5595. 5550.
 5270. 5220. 5190. 5180. 5180. 5180. 5190. 5200. 5240. 5360. 5470. 5530. 5570. 5570. 5540. 5470. 5460. 5470. 5500. 5550.
